Jogador,Poder (M),Time,Status,Tropa,Data
LION King,84.3,Time A (18h),Titular,Míssil,01/05/2026
Din the dispatcher,76.0,Time A (18h),Titular,Míssil,01/05/2026
Prince Arthas,68.0,Time A (18h),Titular,Míssil,01/05/2026
DJ123THEE,52.73,Time A (18h),Titular,Tanque,01/05/2026
MrNobodyx,50.1,Time A (18h),Titular,Aeronave,01/05/2026
Bruno,48.7,Time A (18h),Titular,Míssil,01/05/2026
Lord of Despatchers,48.0,Time A (18h),Titular,Tanque,01/05/2026
Shaka valkyrie,47.68,Time A (18h),Titular,Tanque,01/05/2026
Zedicus Zul Zoranda,47.34,Time A (18h),Titular,Tanque,01/05/2026
kittën,46.6,Time A (18h),Titular,Aeronave,01/05/2026
Gzyniu,46.5,Time A (18h),Titular,Míssil,01/05/2026
KHOZA X HIMURA,46.0,Time A (18h),Titular,Tanque,01/05/2026
Belavista2008,44.2,Time A (18h),Titular,Tanque,01/05/2026
yachine,43.76,Time A (18h),Titular,Aeronave,01/05/2026
Woodzy,43.5,Time A (18h),Titular,Aeronave,01/05/2026
T3DDYOWNSURBOOTE,42.48,Time A (18h),Titular,Tanque,01/05/2026
MURDA12,41.9,Time A (18h),Titular,Tanque,01/05/2026
Newfound Freddy,41.12,Time A (18h),Titular,Tanque,01/05/2026
Vovlo,40.45,Time A (18h),Titular,Aeronave,01/05/2026
BIGAV,39.1,Time A (18h),Titular,Tanque,01/05/2026
ChelieKIA,33.09,Time A (18h),Titular,Tanque,01/05/2026
D12,60.0,Time A (18h),Reserva,Aeronave,01/05/2026
mikehoncho3,43.4,Time A (18h),Reserva,Tanque,01/05/2026
ザイダンAli,42.6,Time A (18h),Reserva,Tanque,01/05/2026
NusretS,40.45,Time A (18h),Reserva,Tanque,01/05/2026
TheBrod,39.6,Time A (18h),Reserva,Aeronave,01/05/2026
Warriors call,39.04,Time A (18h),Reserva,Tanque,01/05/2026
HeatSeeker,38.37,Time A (18h),Reserva,Tanque,01/05/2026
dtcsmd,38.11,Time A (18h),Reserva,Tanque,01/05/2026
Chxpper,37.22,Time A (18h),Reserva,Tanque,01/05/2026
Dv007,60.1,Time B (09h),Titular,Aeronave,01/05/2026
LacErdA,60.0,Time B (09h),Titular,Míssil,01/05/2026
iRuşh,55.65,Time B (09h),Titular,Aeronave,01/05/2026
XPHOENIXX,54.5,Time B (09h),Titular,Míssil,01/05/2026
MEEKZ,54.0,Time B (09h),Titular,Aeronave,01/05/2026
TITO,53.0,Time B (09h),Titular,Míssil,01/05/2026
Midgarfex,53.0,Time B (09h),Titular,Aeronave,01/05/2026
LIVI,52.14,Time B (09h),Titular,Aeronave,01/05/2026
KiffMelmANinja,49.9,Time B (09h),Titular,Tanque,01/05/2026
Ejump84,49.9,Time B (09h),Titular,Aeronave,01/05/2026
Holess,46.3,Time B (09h),Titular,Aeronave,01/05/2026
dóg,46.2,Time B (09h),Titular,Aeronave,01/05/2026
Woopii,45.07,Time B (09h),Titular,Aeronave,01/05/2026
Seruduk,44.9,Time B (09h),Titular,Tanque,01/05/2026
psykovich,44.6,Time B (09h),Titular,Aeronave,01/05/2026
Kurtkevin,44.0,Time B (09h),Titular,Aeronave,01/05/2026
AussieZombie,42.0,Time B (09h),Titular,Tanque,01/05/2026
GA JUDY,41.21,Time B (09h),Titular,Tanque,01/05/2026
NNNTTT,46.86,Time B (09h),Reserva,Tanque,01/05/2026
stella dn,42.9,Time B (09h),Reserva,Tanque,01/05/2026
DidiWarrior,41.52,Time B (09h),Reserva,Tanque,01/05/2026
koramocha,40.7,Time B (09h),Reserva,Tanque,01/05/2026
SHARE,40.0,Time B (09h),Reserva,Aeronave,01/05/2026
Bunji57,39.7,Time B (09h),Reserva,Aeronave,01/05/2026
Asi Kizzz,37.06,Time B (09h),Reserva,Tanque,01/05/2026
LION King,84.3,Time A (18h),Titular,Míssil,01/05/2026
Din the dispatcher,76.0,Time A (18h),Titular,Míssil,01/05/2026
Prince Arthas,68.0,Time A (18h),Titular,Míssil,01/05/2026
DJ123THEE,52.73,Time A (18h),Titular,Tanque,01/05/2026
MrNobodyx,50.1,Time A (18h),Titular,Aeronave,01/05/2026
Bruno,48.7,Time A (18h),Titular,Míssil,01/05/2026
Lord of Despatchers,48.0,Time A (18h),Titular,Tanque,01/05/2026
Shaka valkyrie,47.68,Time A (18h),Titular,Tanque,01/05/2026
Zedicus Zul Zoranda,47.34,Time A (18h),Titular,Tanque,01/05/2026
kittën,46.6,Time A (18h),Titular,Aeronave,01/05/2026
Gzyniu,46.5,Time A (18h),Titular,Míssil,01/05/2026
KHOZA X HIMURA,46.0,Time A (18h),Titular,Tanque,01/05/2026
Belavista2008,44.2,Time A (18h),Titular,Tanque,01/05/2026
yachine,43.76,Time A (18h),Titular,Aeronave,01/05/2026
Woodzy,43.5,Time A (18h),Titular,Aeronave,01/05/2026
T3DDYOWNSURBOOTE,42.48,Time A (18h),Titular,Tanque,01/05/2026
MURDA12,41.9,Time A (18h),Titular,Tanque,01/05/2026
Newfound Freddy,41.12,Time A (18h),Titular,Tanque,01/05/2026
Vovlo,40.45,Time A (18h),Titular,Aeronave,01/05/2026
BIGAV,39.1,Time A (18h),Titular,Tanque,01/05/2026
ChelieKIA,33.09,Time A (18h),Titular,Tanque,01/05/2026
D12,60.0,Time A (18h),Reserva,Aeronave,01/05/2026
mikehoncho3,43.4,Time A (18h),Reserva,Tanque,01/05/2026
ザイダンAli,42.6,Time A (18h),Reserva,Tanque,01/05/2026
NusretS,40.45,Time A (18h),Reserva,Tanque,01/05/2026
TheBrod,39.6,Time A (18h),Reserva,Aeronave,01/05/2026
Warriors call,39.04,Time A (18h),Reserva,Tanque,01/05/2026
HeatSeeker,38.37,Time A (18h),Reserva,Tanque,01/05/2026
dtcsmd,38.11,Time A (18h),Reserva,Tanque,01/05/2026
Chxpper,37.22,Time A (18h),Reserva,Tanque,01/05/2026
Dv007,60.1,Time B (09h),Titular,Aeronave,01/05/2026
LacErdA,60.0,Time B (09h),Titular,Míssil,01/05/2026
iRuşh,55.65,Time B (09h),Titular,Aeronave,01/05/2026
XPHOENIXX,54.5,Time B (09h),Titular,Míssil,01/05/2026
MEEKZ,54.0,Time B (09h),Titular,Aeronave,01/05/2026
TITO,53.0,Time B (09h),Titular,Míssil,01/05/2026
Midgarfex,53.0,Time B (09h),Titular,Aeronave,01/05/2026
LIVI,52.14,Time B (09h),Titular,Aeronave,01/05/2026
KiffMelmANinja,49.9,Time B (09h),Titular,Tanque,01/05/2026
Ejump84,49.9,Time B (09h),Titular,Aeronave,01/05/2026
Holess,46.3,Time B (09h),Titular,Aeronave,01/05/2026
dóg,46.2,Time B (09h),Titular,Aeronave,01/05/2026
Woopii,45.07,Time B (09h),Titular,Aeronave,01/05/2026
Seruduk,44.9,Time B (09h),Titular,Tanque,01/05/2026
psykovich,44.6,Time B (09h),Titular,Aeronave,01/05/2026
Kurtkevin,44.0,Time B (09h),Titular,Aeronave,01/05/2026
AussieZombie,42.0,Time B (09h),Titular,Tanque,01/05/2026
GA JUDY,41.21,Time B (09h),Titular,Tanque,01/05/2026
NNNTTT,46.86,Time B (09h),Reserva,Tanque,01/05/2026
stella dn,42.9,Time B (09h),Reserva,Tanque,01/05/2026
DidiWarrior,41.52,Time B (09h),Reserva,Tanque,01/05/2026
koramocha,40.7,Time B (09h),Reserva,Tanque,01/05/2026
SHARE,40.0,Time B (09h),Reserva,Aeronave,01/05/2026
Bunji57,39.7,Time B (09h),Reserva,Aeronave,01/05/2026
Asi Kizzz,37.06,Time B (09h),Reserva,Tanque,01/05/2026
LION King,84.3,Time A (18h),Titular,Míssil,24/04/2026
Din the dispatcher,76.0,Time A (18h),Titular,Míssil,24/04/2026
Prince Arthas,68.0,Time A (18h),Titular,Míssil,24/04/2026
DJ123THEE,52.73,Time A (18h),Titular,Tanque,24/04/2026
MrNobodyx,50.1,Time A (18h),Titular,Aeronave,24/04/2026
Bruno,48.7,Time A (18h),Titular,Míssil,24/04/2026
Lord of Despatchers,48.0,Time A (18h),Titular,Tanque,24/04/2026
Shaka valkyrie,47.68,Time A (18h),Titular,Tanque,24/04/2026
Zedicus Zul Zoranda,47.34,Time A (18h),Titular,Tanque,24/04/2026
kittën,46.6,Time A (18h),Titular,Aeronave,24/04/2026
Gzyniu,46.5,Time A (18h),Titular,Míssil,24/04/2026
KHOZA X HIMURA,46.0,Time A (18h),Titular,Tanque,24/04/2026
Belavista2008,44.2,Time A (18h),Titular,Tanque,24/04/2026
yachine,43.76,Time A (18h),Titular,Aeronave,24/04/2026
Woodzy,43.5,Time A (18h),Titular,Aeronave,24/04/2026
T3DDYOWNSURBOOTE,42.48,Time A (18h),Titular,Tanque,24/04/2026
MURDA12,41.9,Time A (18h),Titular,Tanque,24/04/2026
Newfound Freddy,41.12,Time A (18h),Titular,Tanque,24/04/2026
Vovlo,40.45,Time A (18h),Titular,Aeronave,24/04/2026
BIGAV,39.1,Time A (18h),Titular,Tanque,24/04/2026
ChelieKIA,33.09,Time A (18h),Titular,Tanque,24/04/2026
D12,60.0,Time A (18h),Reserva,Aeronave,24/04/2026
mikehoncho3,43.4,Time A (18h),Reserva,Tanque,24/04/2026
ザイダンAli,42.6,Time A (18h),Reserva,Tanque,24/04/2026
NusretS,40.45,Time A (18h),Reserva,Tanque,24/04/2026
TheBrod,39.6,Time A (18h),Reserva,Aeronave,24/04/2026
Warriors call,39.04,Time A (18h),Reserva,Tanque,24/04/2026
HeatSeeker,38.37,Time A (18h),Reserva,Tanque,24/04/2026
dtcsmd,38.11,Time A (18h),Reserva,Tanque,24/04/2026
Chxpper,37.22,Time A (18h),Reserva,Tanque,24/04/2026
Dv007,60.1,Time B (09h),Titular,Aeronave,24/04/2026
LacErdA,60.0,Time B (09h),Titular,Míssil,24/04/2026
iRuşh,55.65,Time B (09h),Titular,Aeronave,24/04/2026
XPHOENIXX,54.5,Time B (09h),Titular,Míssil,24/04/2026
MEEKZ,54.0,Time B (09h),Titular,Aeronave,24/04/2026
TITO,53.0,Time B (09h),Titular,Míssil,24/04/2026
Midgarfex,53.0,Time B (09h),Titular,Aeronave,24/04/2026
LIVI,52.14,Time B (09h),Titular,Aeronave,24/04/2026
KiffMelmANinja,49.9,Time B (09h),Titular,Tanque,24/04/2026
Ejump84,49.9,Time B (09h),Titular,Aeronave,24/04/2026
Holess,46.3,Time B (09h),Titular,Aeronave,24/04/2026
dóg,46.2,Time B (09h),Titular,Aeronave,24/04/2026
Woopii,45.07,Time B (09h),Titular,Aeronave,24/04/2026
Seruduk,44.9,Time B (09h),Titular,Tanque,24/04/2026
psykovich,44.6,Time B (09h),Titular,Aeronave,24/04/2026
Kurtkevin,44.0,Time B (09h),Titular,Aeronave,24/04/2026
AussieZombie,42.0,Time B (09h),Titular,Tanque,24/04/2026
GA JUDY,41.21,Time B (09h),Titular,Tanque,24/04/2026
NNNTTT,46.86,Time B (09h),Reserva,Tanque,24/04/2026
stella dn,42.9,Time B (09h),Reserva,Tanque,24/04/2026
DidiWarrior,41.52,Time B (09h),Reserva,Tanque,24/04/2026
koramocha,40.7,Time B (09h),Reserva,Tanque,24/04/2026
SHARE,40.0,Time B (09h),Reserva,Aeronave,24/04/2026
Bunji57,39.7,Time B (09h),Reserva,Aeronave,24/04/2026
Asi Kizzz,37.06,Time B (09h),Reserva,Tanque,24/04/2026
